"","category_intercell_source","source_genesymbol","target_genesymbol"
"1","cell_surface_ligand","LGALS9","PTPRC"
"2","cell_surface_ligand","LGALS9","MET"
"3","cell_surface_ligand","LGALS9","CD44"
"4","cell_surface_ligand","LGALS9","LRP1"
"5","cell_surface_ligand","LGALS9","CD47"
"6","cell_surface_ligand","LGALS9","PTPRK"
"7","cell_surface_ligand","LGALS9","COLEC12"
"8","cell_surface_ligand","LGALS9","HAVCR2"
"9","cell_surface_ligand","LGALS9","MRC2"
"10","cell_surface_ligand","DLL1","NOTCH1"
"11","cell_surface_ligand","DLL1","NOTCH2"
"12","cell_surface_ligand","DLL1","NOTCH4"
"13","cell_surface_ligand","DLL1","NOTCH3"
"14","cell_surface_ligand","PODXL","SELL"
"15","cell_surface_ligand","NRG2","ERBB2"
"16","cell_surface_ligand","NRG2","ERBB3"
"17","cell_surface_ligand","NRG2","ERBB2"
"18","cell_surface_ligand","NRG2","ERBB4"
"19","cell_surface_ligand","ADGRB1","RTN4R"
"20","cell_surface_ligand","ADAM10","TSPAN15"
"21","cell_surface_ligand","ADAM10","TSPAN12"
"22","cell_surface_ligand","ADAM10","MET"
"23","cell_surface_ligand","ADAM10","IL6R"
"24","cell_surface_ligand","ADAM10","CD44"
"25","cell_surface_ligand","ADAM10","EPHA3"
"26","cell_surface_ligand","ADAM10","AXL"
"27","cell_surface_ligand","ADAM10","NOTCH1"
"28","cell_surface_ligand","ADAM10","NOTCH2"
"29","cell_surface_ligand","ADAM10","NRCAM"
"30","cell_surface_ligand","ADAM10","TSPAN17"
"31","cell_surface_ligand","ADAM10","TSPAN10"
"32","cell_surface_ligand","ADAM10","TREM2"
"33","cell_surface_ligand","TNFSF11","TNFRSF11B"
"34","cell_surface_ligand","TNFSF11","LGR4"
"35","cell_surface_ligand","TNFSF11","TNFRSF11A"
"36","cell_surface_ligand","EREG","EGFR"
"37","cell_surface_ligand","EREG","ERBB2"
"38","cell_surface_ligand","EREG","ERBB2"
"39","cell_surface_ligand","EREG","ERBB4"
"40","cell_surface_ligand","EREG","ERBB3"
"41","cell_surface_ligand","ADAM12","ITGB1"
"42","cell_surface_ligand","ADAM12","ITGA9"
"43","cell_surface_ligand","TNFSF12","TNFRSF8"
"44","cell_surface_ligand","TNFSF12","CD163"
"45","cell_surface_ligand","TNFSF12","TNFRSF25"
"46","cell_surface_ligand","TNFSF12","TNFRSF12A"
"47","cell_surface_ligand","TNFSF14","TNFRSF6B"
"48","cell_surface_ligand","TNFSF14","LTBR"
"49","cell_surface_ligand","TNFSF14","TNFRSF14"
"50","cell_surface_ligand","ADAM23","ITGB3"
"51","cell_surface_ligand","ADAM23","ITGA5"
"52","cell_surface_ligand","ADAM23","ITGA4"
"53","cell_surface_ligand","ADAM11","ITGA4"
"54","cell_surface_ligand","ICOSLG","CD28"
"55","cell_surface_ligand","ICOSLG","CTLA4"
"56","cell_surface_ligand","ICOSLG","ICOS"
"57","cell_surface_ligand","SEMA7A","ITGA1"
"58","cell_surface_ligand","SEMA7A","ITGB1"
"59","cell_surface_ligand","SEMA7A","PLXNC1"
"60","cell_surface_ligand","TNFSF13","TNFRSF11B"
"61","cell_surface_ligand","TNFSF13","TNFRSF13B"
"62","cell_surface_ligand","TNFSF13","TNFRSF1A"
"63","cell_surface_ligand","TNFSF13","FAS"
"64","cell_surface_ligand","TNFSF13","SDC2"
"65","cell_surface_ligand","TNFSF13","TNFRSF17"
"66","cell_surface_ligand","TNFSF13","TNFRSF14"
"67","cell_surface_ligand","NFASC","CNTN1"
"68","cell_surface_ligand","NFASC","CNTNAP1"
"69","cell_surface_ligand","SLITRK3","PTPRD"
"70","cell_surface_ligand","SLITRK3","PTPRS"
"71","cell_surface_ligand","SLITRK5","PTPRD"
"72","cell_surface_ligand","TNFSF15","TNFRSF6B"
"73","cell_surface_ligand","TNFSF15","TNFRSF25"
"74","cell_surface_ligand","TGFA","EGFR"
"75","cell_surface_ligand","TGFA","ERBB2"
"76","cell_surface_ligand","TGFA","ERBB3"
"77","cell_surface_ligand","TGFA","ERBB4"
"78","cell_surface_ligand","TNF","FFAR2"
"79","cell_surface_ligand","TNF","TNFRSF21"
"80","cell_surface_ligand","TNF","TNFRSF1A"
"81","cell_surface_ligand","TNF","TNFRSF1B"
"82","cell_surface_ligand","TNF","FAS"
"83","cell_surface_ligand","TNF","FLT4"
"84","cell_surface_ligand","TNF","NOTCH1"
"85","cell_surface_ligand","TNF","PTPRS"
"86","cell_surface_ligand","TNF","SEMA4C"
"87","cell_surface_ligand","TNF","VSIR"
"88","cell_surface_ligand","TNF","CELSR2"
"89","cell_surface_ligand","TNF","ICOS"
"90","cell_surface_ligand","HLA-B","CD8B2"
"91","cell_surface_ligand","HLA-B","LILRA1"
"92","cell_surface_ligand","HLA-B","CD8A"
"93","cell_surface_ligand","HLA-B","CD3D"
"94","cell_surface_ligand","HLA-B","CD3G"
"95","cell_surface_ligand","HLA-B","CD8B"
"96","cell_surface_ligand","HLA-B","KIR2DL3"
"97","cell_surface_ligand","HLA-B","KIR3DL1"
"98","cell_surface_ligand","HLA-B","KIR3DL2"
"99","cell_surface_ligand","HLA-B","KLRD1"
"100","cell_surface_ligand","HLA-B","LILRB2"
"101","cell_surface_ligand","HLA-B","LILRB1"
"102","cell_surface_ligand","HLA-DRA","CD4"
"103","cell_surface_ligand","HLA-DRA","LAG3"
"104","cell_surface_ligand","HLA-DQA2","CD4"
"105","cell_surface_ligand","HLA-DQA2","LAG3"
"106","cell_surface_ligand","HLA-DQA1","CD4"
"107","cell_surface_ligand","HLA-DQA1","LAG3"
"108","cell_surface_ligand","HLA-DRB1","CD4"
"109","cell_surface_ligand","HLA-DRB1","LAG3"
"110","cell_surface_ligand","HLA-DQB1","CD4"
"111","cell_surface_ligand","HLA-DQB1","LAG3"
"112","cell_surface_ligand","ANXA1","FPR2"
"113","cell_surface_ligand","ANXA1","FPR3"
"114","cell_surface_ligand","ANXA1","EGFR"
"115","cell_surface_ligand","ANXA1","ADRA2A"
"116","cell_surface_ligand","ANXA1","FPR1"
"117","cell_surface_ligand","ANXA1","MTNR1A"
"118","cell_surface_ligand","ANXA1","GRM7"
"119","cell_surface_ligand","THY1","ITGAV"
"120","cell_surface_ligand","THY1","ITGB3"
"121","cell_surface_ligand","THY1","ITGAM"
"122","cell_surface_ligand","THY1","ITGB2"
"123","cell_surface_ligand","THY1","ITGAX"
"124","cell_surface_ligand","THY1","ITGB2"
"125","cell_surface_ligand","HLA-A","CD8B2"
"126","cell_surface_ligand","HLA-A","LILRA1"
"127","cell_surface_ligand","HLA-A","CD8A"
"128","cell_surface_ligand","HLA-A","CD3D"
"129","cell_surface_ligand","HLA-A","ERBB2"
"130","cell_surface_ligand","HLA-A","CD3G"
"131","cell_surface_ligand","HLA-A","CD8B"
"132","cell_surface_ligand","HLA-A","KIR2DL1"
"133","cell_surface_ligand","HLA-A","KIR2DL3"
"134","cell_surface_ligand","HLA-A","KIR3DL1"
"135","cell_surface_ligand","HLA-A","KIR3DL2"
"136","cell_surface_ligand","HLA-A","APLP2"
"137","cell_surface_ligand","HLA-A","LILRB2"
"138","cell_surface_ligand","HLA-A","LILRB1"
"139","cell_surface_ligand","HLA-DPB1","CD4"
"140","cell_surface_ligand","HLA-DPB1","LAG3"
"141","cell_surface_ligand","APP","TNFRSF21"
"142","cell_surface_ligand","APP","LRP6"
"143","cell_surface_ligand","APP","TSPAN15"
"144","cell_surface_ligand","APP","TSPAN12"
"145","cell_surface_ligand","APP","CD74"
"146","cell_surface_ligand","APP","NGFR"
"147","cell_surface_ligand","APP","RPSA"
"148","cell_surface_ligand","APP","ADRA2A"
"149","cell_surface_ligand","APP","FPR2"
"150","cell_surface_ligand","APP","GPC1"
"151","cell_surface_ligand","APP","PTGER2"
"152","cell_surface_ligand","APP","DCC"
"153","cell_surface_ligand","APP","MTNR1A"
"154","cell_surface_ligand","APP","APLP1"
"155","cell_surface_ligand","APP","VLDLR"
"156","cell_surface_ligand","APP","NOTCH2"
"157","cell_surface_ligand","APP","APLP2"
"158","cell_surface_ligand","APP","LRP1"
"159","cell_surface_ligand","APP","GRM7"
"160","cell_surface_ligand","APP","AGER"
"161","cell_surface_ligand","APP","LRP10"
"162","cell_surface_ligand","APP","NCSTN"
"163","cell_surface_ligand","ITGB2","THY1"
"164","cell_surface_ligand","ITGB2","CD226"
"165","cell_surface_ligand","ICAM1","ITGAM"
"166","cell_surface_ligand","ICAM1","ITGB2"
"167","cell_surface_ligand","ICAM1","ITGAL"
"168","cell_surface_ligand","ICAM1","ITGB2"
"169","cell_surface_ligand","ICAM1","ITGAX"
"170","cell_surface_ligand","ICAM1","ITGB2"
"171","cell_surface_ligand","ICAM1","EGFR"
"172","cell_surface_ligand","ICAM1","IL2RA"
"173","cell_surface_ligand","ICAM1","MUC1"
"174","cell_surface_ligand","ICAM1","SPN"
"175","cell_surface_ligand","ICAM1","IL2RG"
"176","cell_surface_ligand","LCK","CD8A"
"177","cell_surface_ligand","LCK","CD8B"
"178","cell_surface_ligand","FCER2","ITGAV"
"179","cell_surface_ligand","FCER2","ITGB3"
"180","cell_surface_ligand","FCER2","ITGAM"
"181","cell_surface_ligand","FCER2","ITGB2"
"182","cell_surface_ligand","FCER2","ITGAX"
"183","cell_surface_ligand","FCER2","ITGB2"
"184","cell_surface_ligand","FCER2","CR2"
"185","cell_surface_ligand","ITGAV","THY1"
"186","cell_surface_ligand","ANXA2","TLR2"
"187","cell_surface_ligand","ANXA2","ROBO4"
"188","cell_surface_ligand","GP1BA","ITGAM"
"189","cell_surface_ligand","GP1BA","ITGB2"
"190","cell_surface_ligand","THBS1","ITGAV"
"191","cell_surface_ligand","THBS1","ITGB3"
"192","cell_surface_ligand","THBS1","ITGA2B"
"193","cell_surface_ligand","THBS1","ITGB3"
"194","cell_surface_ligand","THBS1","ITGA3"
"195","cell_surface_ligand","THBS1","ITGB1"
"196","cell_surface_ligand","THBS1","TNFRSF11B"
"197","cell_surface_ligand","THBS1","LRP5"
"198","cell_surface_ligand","THBS1","ITGA4"
"199","cell_surface_ligand","THBS1","CD36"
"200","cell_surface_ligand","THBS1","SDC1"
"201","cell_surface_ligand","THBS1","ITGA6"
"202","cell_surface_ligand","THBS1","LRP1"
"203","cell_surface_ligand","THBS1","CD47"
"204","cell_surface_ligand","THBS1","PTPRJ"
"205","cell_surface_ligand","THBS1","SCARB1"
"206","cell_surface_ligand","CD55","CR1"
"207","cell_surface_ligand","CD55","ADGRE5"
"208","cell_surface_ligand","CD55","ADGRE2"
"209","cell_surface_ligand","CD14","TLR4"
"210","cell_surface_ligand","CD14","ITGB2"
"211","cell_surface_ligand","CD14","ITGB1"
"212","cell_surface_ligand","CD14","ITGA4"
"213","cell_surface_ligand","CD14","TLR1"
"214","cell_surface_ligand","CD14","TLR9"
"215","cell_surface_ligand","CD14","TLR6"
"216","cell_surface_ligand","MELTF","TFRC"
"217","cell_surface_ligand","CD48","CD2"
"218","cell_surface_ligand","CD48","CD244"
"219","cell_surface_ligand","CSF1","SIRPA"
"220","cell_surface_ligand","CSF1","CELSR3"
"221","cell_surface_ligand","HLA-C","CD8B2"
"222","cell_surface_ligand","HLA-C","LILRA1"
"223","cell_surface_ligand","HLA-C","CD8A"
"224","cell_surface_ligand","HLA-C","CD3D"
"225","cell_surface_ligand","HLA-C","CD3G"
"226","cell_surface_ligand","HLA-C","CD8B"
"227","cell_surface_ligand","HLA-C","KIR2DL1"
"228","cell_surface_ligand","HLA-C","KIR2DL2"
"229","cell_surface_ligand","HLA-C","KIR2DL3"
"230","cell_surface_ligand","HLA-C","KIR3DL1"
"231","cell_surface_ligand","HLA-C","KIR2DS4"
"232","cell_surface_ligand","HLA-C","KIR2DS1"
"233","cell_surface_ligand","HLA-C","LILRB2"
"234","cell_surface_ligand","HLA-C","LILRA3"
"235","cell_surface_ligand","HLA-C","KIR3DL3"
"236","cell_surface_ligand","HLA-C","LILRB1"
"237","cell_surface_ligand","HLA-C","NOTCH4"
"238","cell_surface_ligand","TGFB3","ACVR1B"
"239","cell_surface_ligand","TGFB3","TGFBR2"
"240","cell_surface_ligand","TGFB3","TGFBR1"
"241","cell_surface_ligand","TGFB3","TGFBR2"
"242","cell_surface_ligand","TGFB3","ACVR1"
"243","cell_surface_ligand","TGFB3","TGFBR1"
"244","cell_surface_ligand","TGFB3","TGFBR2"
"245","cell_surface_ligand","TGFB3","ACVR1"
"246","cell_surface_ligand","TGFB3","TGFBR2"
"247","cell_surface_ligand","TGFB3","ACVR1C"
"248","cell_surface_ligand","TGFB3","TGFBR2"
"249","cell_surface_ligand","TGFB3","ITGB3"
"250","cell_surface_ligand","TGFB3","ITGB1"
"251","cell_surface_ligand","TGFB3","ITGB5"
"252","cell_surface_ligand","TGFB3","ITGB6"
"253","cell_surface_ligand","TGFB3","ACVRL1"
"254","cell_surface_ligand","TGFB3","TGFBR3"
"255","cell_surface_ligand","CD28","CD80"
"256","cell_surface_ligand","CD28","CD86"
"257","cell_surface_ligand","ACE","BDKRB2"
"258","cell_surface_ligand","ACE","AGTR2"
"259","cell_surface_ligand","CDH1","ITGA2"
"260","cell_surface_ligand","CDH1","ITGB1"
"261","cell_surface_ligand","CDH1","ITGAE"
"262","cell_surface_ligand","CDH1","ITGB7"
"263","cell_surface_ligand","CDH1","LRP5"
"264","cell_surface_ligand","CDH1","EGFR"
"265","cell_surface_ligand","CDH1","IGF1R"
"266","cell_surface_ligand","CDH1","PTPRF"
"267","cell_surface_ligand","CDH1","CDH2"
"268","cell_surface_ligand","CDH1","ERBB3"
"269","cell_surface_ligand","CDH1","PTPRM"
"270","cell_surface_ligand","CDH1","KLRG1"
"271","cell_surface_ligand","TDGF1","ACVR2A"
"272","cell_surface_ligand","TDGF1","GPC1"
"273","cell_surface_ligand","TDGF1","ACVR1B"
"274","cell_surface_ligand","TDGF1","ACVR2B"
"275","cell_surface_ligand","TDGF1","ACVR1C"
"276","cell_surface_ligand","NCAM1","NCAM2"
"277","cell_surface_ligand","NCAM1","FGFR1"
"278","cell_surface_ligand","NCAM1","FGFR2"
"279","cell_surface_ligand","NCAM1","PTPRZ1"
"280","cell_surface_ligand","NCAM1","GFRA1"
"281","cell_surface_ligand","NCAM1","ROBO3"
"282","cell_surface_ligand","NCAM1","ROBO1"
"283","cell_surface_ligand","ICAM2","ITGAM"
"284","cell_surface_ligand","ICAM2","ITGB2"
"285","cell_surface_ligand","ICAM2","ITGAL"
"286","cell_surface_ligand","ICAM2","ITGB2"
"287","cell_surface_ligand","CEACAM1","EGFR"
"288","cell_surface_ligand","CEACAM1","HAVCR2"
"289","cell_surface_ligand","HLA-E","CD8B2"
"290","cell_surface_ligand","HLA-E","KLRC1"
"291","cell_surface_ligand","HLA-E","KLRD1"
"292","cell_surface_ligand","HLA-E","KLRC2"
"293","cell_surface_ligand","HLA-E","KLRD1"
"294","cell_surface_ligand","HLA-E","KLRC3"
"295","cell_surface_ligand","HLA-E","KLRD1"
"296","cell_surface_ligand","HLA-E","CD8A"
"297","cell_surface_ligand","HLA-E","CD8B"
"298","cell_surface_ligand","HLA-E","KLRK1"
"299","cell_surface_ligand","HLA-E","KIR3DL1"
"300","cell_surface_ligand","HLA-DRB4","CD4"
"301","cell_surface_ligand","HLA-DRB4","LAG3"
"302","cell_surface_ligand","HLA-DOB","CD4"
"303","cell_surface_ligand","SELL","PODXL"
"304","cell_surface_ligand","SELL","MADCAM1"
"305","cell_surface_ligand","CD99","CD81"
"306","cell_surface_ligand","CD99","CD99L2"
"307","cell_surface_ligand","CD99","PILRB"
"308","cell_surface_ligand","CD99","PILRA"
"309","cell_surface_ligand","PLA2G2A","ITGB3"
"310","cell_surface_ligand","PLA2G2A","ITGB1"
"311","cell_surface_ligand","PLA2G2A","ITGAV"
"312","cell_surface_ligand","PLA2G2A","ITGA5"
"313","cell_surface_ligand","PLA2G2A","ITGA4"
"314","cell_surface_ligand","CD1D","LILRB2"
"315","cell_surface_ligand","ST6GAL1","EGFR"
"316","cell_surface_ligand","ST6GAL1","CD22"
"317","cell_surface_ligand","SPN","SIGLEC1"
"318","cell_surface_ligand","SELE","CEACAM1"
"319","cell_surface_ligand","SELE","CD44"
"320","cell_surface_ligand","SELE","GLG1"
"321","cell_surface_ligand","HLA-G","CD8B2"
"322","cell_surface_ligand","HLA-G","CD4"
"323","cell_surface_ligand","HLA-G","CD8A"
"324","cell_surface_ligand","HLA-G","CD8B"
"325","cell_surface_ligand","HLA-G","KLRC1"
"326","cell_surface_ligand","HLA-G","KIR3DL1"
"327","cell_surface_ligand","HLA-G","KLRD1"
"328","cell_surface_ligand","HLA-G","LILRB2"
"329","cell_surface_ligand","HLA-G","LILRB1"
"330","cell_surface_ligand","HLA-G","KIR2DL4"
"331","cell_surface_ligand","CD58","CD2"
"332","cell_surface_ligand","VCAM1","ITGAD"
"333","cell_surface_ligand","VCAM1","ITGB2"
"334","cell_surface_ligand","VCAM1","ITGA4"
"335","cell_surface_ligand","VCAM1","ITGB1"
"336","cell_surface_ligand","VCAM1","ITGA9"
"337","cell_surface_ligand","VCAM1","ITGB1"
"338","cell_surface_ligand","VCAM1","ITGA4"
"339","cell_surface_ligand","VCAM1","ITGB7"
"340","cell_surface_ligand","HLA-DPA1","CD4"
"341","cell_surface_ligand","HLA-DPA1","LAG3"
"342","cell_surface_ligand","CD22","PTPRC"
"343","cell_surface_ligand","EFNA1","EPHB6"
"344","cell_surface_ligand","EFNA1","EPHA1"
"345","cell_surface_ligand","EFNA1","EPHA2"
"346","cell_surface_ligand","EFNA1","EPHA3"
"347","cell_surface_ligand","EFNA1","EPHA8"
"348","cell_surface_ligand","EFNA1","EPHA5"
"349","cell_surface_ligand","EFNA1","EPHB1"
"350","cell_surface_ligand","EFNA1","EPHA4"
"351","cell_surface_ligand","EFNA1","EPHA7"
"352","cell_surface_ligand","EFNA1","EPHA10"
"353","cell_surface_ligand","EFNA1","EPHA6"
"354","cell_surface_ligand","KITLG","KIT"
"355","cell_surface_ligand","KITLG","EPOR"
"356","cell_surface_ligand","MRC1","PTPRC"
"357","cell_surface_ligand","MPZ","MPZL1"
"358","cell_surface_ligand","HLA-DMA","CD4"
"359","cell_surface_ligand","HLA-DMB","CD4"
"360","cell_surface_ligand","CD34","SELL"
"361","cell_surface_ligand","CD34","SELP"
"362","cell_surface_ligand","CD40LG","ITGA2B"
"363","cell_surface_ligand","CD40LG","ITGB3"
"364","cell_surface_ligand","CD40LG","ITGAM"
"365","cell_surface_ligand","CD40LG","ITGB2"
"366","cell_surface_ligand","CD40LG","ITGA5"
"367","cell_surface_ligand","CD40LG","ITGB1"
"368","cell_surface_ligand","CD40LG","CD40"
"369","cell_surface_ligand","HLA-F","CD8B2"
"370","cell_surface_ligand","HLA-F","CD8A"
"371","cell_surface_ligand","HLA-F","CD8B"
"372","cell_surface_ligand","HLA-F","KIR3DL1"
"373","cell_surface_ligand","HLA-F","KIR3DL2"
"374","cell_surface_ligand","HLA-F","KIR3DS1"
"375","cell_surface_ligand","HLA-F","LILRB2"
"376","cell_surface_ligand","HLA-F","LILRB1"
"377","cell_surface_ligand","CEACAM8","CEACAM1"
"378","cell_surface_ligand","L1CAM","ITGAV"
"379","cell_surface_ligand","L1CAM","ITGB3"
"380","cell_surface_ligand","L1CAM","ITGA5"
"381","cell_surface_ligand","L1CAM","ITGB1"
"382","cell_surface_ligand","L1CAM","ITGA4"
"383","cell_surface_ligand","L1CAM","ITGB7"
"384","cell_surface_ligand","L1CAM","EGFR"
"385","cell_surface_ligand","L1CAM","ERBB2"
"386","cell_surface_ligand","L1CAM","FGFR2"
"387","cell_surface_ligand","L1CAM","ERBB3"
"388","cell_surface_ligand","L1CAM","PTPRZ1"
"389","cell_surface_ligand","L1CAM","EPHB2"
"390","cell_surface_ligand","L1CAM","CNTN1"
"391","cell_surface_ligand","ICAM3","ITGAD"
"392","cell_surface_ligand","ICAM3","ITGB2"
"393","cell_surface_ligand","ICAM3","ITGAL"
"394","cell_surface_ligand","ICAM3","CLEC4M"
"395","cell_surface_ligand","CD80","CD28"
"396","cell_surface_ligand","CD80","CTLA4"
"397","cell_surface_ligand","SDC2","PTPRJ"
"398","cell_surface_ligand","BTC","EGFR"
"399","cell_surface_ligand","BTC","ERBB2"
"400","cell_surface_ligand","BTC","ERBB2"
"401","cell_surface_ligand","BTC","ERBB4"
"402","cell_surface_ligand","BTC","ERBB3"
"403","cell_surface_ligand","CEACAM6","EGFR"
"404","cell_surface_ligand","CEACAM6","CEACAM1"
"405","cell_surface_ligand","CD96","PVR"
"406","cell_surface_ligand","CD96","NECTIN1"
"407","cell_surface_ligand","CD200","CD200R1L"
"408","cell_surface_ligand","CD200","CD200R1"
